,APR,DOM,EVA,MEJ,MET,PRA,REC,RET,ASE,GÉNERO ALUMNO,PROM ACUMULADO EN PROFESIONAL,Género del profesor,"Tipo Comentario 0 neg, 1 pos, 2 neutro",Comentarios,AVG,Lemm
0,5,4,9,0,5,10,4,10,8,0,94.428,0,0," Sabe explicar muy bien las cosas teoricas, pero le hace falta aterrizar un poco los temas a lo que es en la practica la mercadotecnia interna. Nos puso a realizar un proyecto de mercadotecnia interna a una empresa sin nosotros tener algún ejemplo concreto de qué acciones se pueden implementar. Solo nos dio teoria basica.",7.2,"['saber', 'explicar', 'bien', 'cosa', 'teorico', 'hacer', 'falta', 'aterrizar', 'tema', 'practicar', 'mercadotecnia', 'interno', 'poner', 'realizar', 'proyecto', 'mercadotecnia', 'interno', 'empresa', 'tener', 'alguno', 'ejemplo', 'concreto', 'acción', 'poder', 'implementar', 'solo', 'dar', 'teoria', 'basico']"
1,5,8,8,0,5,7,8,5,8,0,95.968,0,0, Método anticuado de enseñar. Los temas podría hacerlos más interesantes para los alumnos.,6.3,"['método', 'anticuado', 'enseñar', 'tema', 'poder', 'hacer', 'el', 'interesante', 'alumno']"
2,10,10,5,1,8,10,10,10,8,0,96.408,0,1,"Sabe muchísimo del tema, muy preparada. ",8.8,"['saber', 'muchísimo', 'tema', 'preparado']"
3,10,10,10,1,10,10,10,10,10,0,94.981,0,2,buena maestra si lo recomiendo,10,"['buen', 'maestro', 'si', 'recomer']"
4,9,10,9,1,9,9,9,9,9,0,89.04,0,1,Tiene mucho conocimiento sobre los temas. ,9,"['conocimiento', 'tema']"
5,9,10,9,1,10,10,9,10,10,0,91.041,0,1,Una maestra con mucho conocimiento y visión ,9.5,"['maestro', 'conocimiento', 'visión']"
6,10,10,10,0,9,10,10,10,10,0,86.155,0,1,Conocedora de tema ,9.8,"['conocedor', 'tema']"
7,10,10,10,1,10,10,10,10,10,1,75.207,0,1,Aunque no la conozco fisicamente ya que la clase es en linea la maestra siempre estuvo a disposición de nosotros los alumnos y ademas el contenido de la clase era mas profundo que las clases normales de mercadotecnia. ,10,"['aunque', 'no', 'conocer', 'fisicamente', 'clase', 'linea', 'maestro', 'siempre', 'disposición', 'alumno', 'ademas', 'contenido', 'clase', 'mas', 'profundo', 'clase', 'normal', 'mercadotecnia']"
8,7,10,4,0,10,3,3,2,7,0,88.333,0,0," La clase esta super repetitiva todo el semestre, recomiendo hacer actividades e investigaciones ya que comentar en foros todo el tiempo es muy aburrido y realmente no te motiva a investigar y aprender",4.8,"['clase', 'super', 'repetitivo', 'semestre', 'recomer', 'hacer', 'actividad', 'investigación', 'comentar', 'foro', 'tiempo', 'aburrido', 'realmente', 'no', 'motivar', 'investigar', 'aprender']"
9,10,10,10,0,10,10,10,10,10,0,82,0,2,Muchas actividades de aprendizaje. no aplica,10,"['mucho', 'actividad', 'aprendizaje', 'no', 'aplicar']"
10,10,10,9,0,10,10,1,9,10,1,75.781,0,2,Muy buena profesora Na,8.2,"['buen', 'profesora', 'na']"
11,4,10,7,0,8,0,5,8,6,0,87.245,0,2,"No lo recomendaría Como es en linea, pues porque contesta mails tarde y las actividades en bb no estan bien especificadas.",5.3,"['no', 'recomendar', 'linea', 'pues', 'contestar', 'mail', 'tarde', 'actividad', 'bb', 'no', 'estar', 'bien', 'especificado']"
12,10,10,10,0,10,10,10,10,10,1,81.75,0,1,"A mi que no me gusta derecho, hace que la clase sea interesante ",10,"['no', 'gustar', 'derecho', 'hacer', 'clase', 'interesante']"
13,10,10,10,1,10,10,10,10,10,0,83,0,1,Se ve que le gusta enseñar ,10,"['ver', 'gustar', 'enseñar']"
14,8,10,7,0,10,5,8,6,4,0,90.23,0,1,Sabe mucho ,7.3,['saber']
15,10,10,10,0,10,10,9,10,10,1,87.727,0,1,es buena maestra ,9.8,"['buen', 'maestro']"
16,10,10,10,0,10,10,10,9,10,1,77.55,0,1,excelente maestra ,9.8,"['excelente', 'maestro']"
17,10,10,10,0,8,7,10,10,10,0,88.5,0,1,buena onda ,9.2,"['buen', 'onda']"
18,10,10,10,1,10,10,10,10,10,0,87.833,0,0, Nada,10,[]
19,10,10,10,1,10,10,10,10,10,0,93.833,0,1,"explica muy bien, muy linda ",10,"['explicar', 'bien', 'lindo']"
20,10,10,10,1,10,10,10,10,10,1,74.825,0,1,Es la directora de Bufetec ,10,"['directora', 'bufetec']"
21,8,8,9,0,8,9,7,7,9,0,77.923,0,1,Buena profesora ,8,"['buen', 'profesora']"
22,10,10,10,0,10,10,10,10,10,0,84.416,0,1,Explica muy bien ,10,"['explicar', 'bien']"
23,6,10,6,0,4,8,4,6,9,0,97.833,0,2,Es muy buena onda y se ve que es muy inteligente. Le importa que aprendamos puede ser muy seria y monótona,5.7,"['buen', 'onda', 'ver', 'inteligente', 'importar', 'aprender', 'poder', 'ser', 'serio', 'monótono']"
24,10,10,10,1,10,10,10,8,10,0,94.372,0,2,Un enfoque de lo legal a tu carrera No hay un porque no,9.7,"['enfoque', 'legal', 'carrera', 'no', 'no']"
25,7,9,6,0,7,6,10,8,6,1,84.692,0,2,Dispuesta a ayudar siempre a sus alumnos. Sí la recomendaría.,7.3,"['dispuesto', 'ayudar', 'siempre', 'alumno', 'recomendar']"
26,4,10,0,0,5,7,5,0,6,0,80.96,0,2,"Es muy buena persona, y si hace la clase muy relajada Las personas de derecho no le sacarían provecho a la materia.",3.5,"['buen', 'persona', 'si', 'hacer', 'clase', 'relajado', 'persona', 'derecho', 'no', 'sacar', 'provecho', 'materia']"
