,APR,DOM,EVA,MEJ,MET,PRA,REC,RET,ASE,GÉNERO ALUMNO,PROM ACUMULADO EN PROFESIONAL,Género del profesor,Tipo Comentario,Comentarios,AVG,Lemm
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,94.428,0.0,0," Sabe explicar muy bien las cosas teoricas, pero le hace falta aterrizar un poco los temas a lo que es en la practica la mercadotecnia interna. Nos puso a realizar un proyecto de mercadotecnia interna a una empresa sin nosotros tener algún ejemplo concreto de qué acciones se pueden implementar. Solo nos dio teoria basica.",0.0,"['saber', 'explicar', 'bien', 'cosa', 'teorico', 'hacer', 'falta', 'aterrizar', 'tema', 'practicar', 'mercadotecnia', 'interno', 'poner', 'realizar', 'proyecto', 'mercadotecnia', 'interno', 'empresa', 'tener', 'alguno', 'ejemplo', 'concreto', 'acción', 'poder', 'implementar', 'solo', 'dar', 'teoria', 'basico']"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95.968,0.0,0, Método anticuado de enseñar. Los temas podría hacerlos más interesantes para los alumnos.,0.0,"['método', 'anticuado', 'enseñar', 'tema', 'poder', 'hacer', 'el', 'interesante', 'alumno']"
2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,96.408,0.0,1,"Sabe muchísimo del tema, muy preparada. ",0.0,"['saber', 'muchísimo', 'tema', 'preparado']"
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,94.981,0.0,2,buena maestra si lo recomiendo,1.0,"['buen', 'maestro', 'si', 'recomer']"
4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,89.04,0.0,1,Tiene mucho conocimiento sobre los temas. ,0.0,"['conocimiento', 'tema']"
5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,91.041,0.0,1,Una maestra con mucho conocimiento y visión ,1.0,"['maestro', 'conocimiento', 'visión']"
6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,86.155,0.0,1,Conocedora de tema ,1.0,"['conocedor', 'tema']"
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,75.207,0.0,1,Aunque no la conozco fisicamente ya que la clase es en linea la maestra siempre estuvo a disposición de nosotros los alumnos y ademas el contenido de la clase era mas profundo que las clases normales de mercadotecnia. ,1.0,"['aunque', 'no', 'conocer', 'fisicamente', 'clase', 'linea', 'maestro', 'siempre', 'disposición', 'alumno', 'ademas', 'contenido', 'clase', 'mas', 'profundo', 'clase', 'normal', 'mercadotecnia']"
8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,88.333,0.0,0," La clase esta super repetitiva todo el semestre, recomiendo hacer actividades e investigaciones ya que comentar en foros todo el tiempo es muy aburrido y realmente no te motiva a investigar y aprender",0.0,"['clase', 'super', 'repetitivo', 'semestre', 'recomer', 'hacer', 'actividad', 'investigación', 'comentar', 'foro', 'tiempo', 'aburrido', 'realmente', 'no', 'motivar', 'investigar', 'aprender']"
9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,82.0,0.0,2,Muchas actividades de aprendizaje. no aplica,1.0,"['mucho', 'actividad', 'aprendizaje', 'no', 'aplicar']"
10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,75.781,0.0,2,Muy buena profesora Na,0.0,"['buen', 'profesora', 'na']"
11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87.245,0.0,2,"No lo recomendaría Como es en linea, pues porque contesta mails tarde y las actividades en bb no estan bien especificadas.",0.0,"['no', 'recomendar', 'linea', 'pues', 'contestar', 'mail', 'tarde', 'actividad', 'bb', 'no', 'estar', 'bien', 'especificado']"
12,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,81.75,0.0,1,"A mi que no me gusta derecho, hace que la clase sea interesante ",1.0,"['no', 'gustar', 'derecho', 'hacer', 'clase', 'interesante']"
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,83.0,0.0,1,Se ve que le gusta enseñar ,1.0,"['ver', 'gustar', 'enseñar']"
14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,90.23,0.0,1,Sabe mucho ,0.0,['saber']
15,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,87.727,0.0,1,es buena maestra ,1.0,"['buen', 'maestro']"
16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,77.55,0.0,1,excelente maestra ,1.0,"['excelente', 'maestro']"
17,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,88.5,0.0,1,buena onda ,1.0,"['buen', 'onda']"
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,87.833,0.0,0, Nada,1.0,[]
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,93.833,0.0,1,"explica muy bien, muy linda ",1.0,"['explicar', 'bien', 'lindo']"
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,74.825,0.0,1,Es la directora de Bufetec ,1.0,"['directora', 'bufetec']"
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.923,0.0,1,Buena profesora ,0.0,"['buen', 'profesora']"
22,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,84.416,0.0,1,Explica muy bien ,1.0,"['explicar', 'bien']"
23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,97.833,0.0,2,Es muy buena onda y se ve que es muy inteligente. Le importa que aprendamos puede ser muy seria y monótona,0.0,"['buen', 'onda', 'ver', 'inteligente', 'importar', 'aprender', 'poder', 'ser', 'serio', 'monótono']"
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,94.372,0.0,2,Un enfoque de lo legal a tu carrera No hay un porque no,1.0,"['enfoque', 'legal', 'carrera', 'no', 'no']"
25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,84.692,0.0,2,Dispuesta a ayudar siempre a sus alumnos. Sí la recomendaría.,0.0,"['dispuesto', 'ayudar', 'siempre', 'alumno', 'recomendar']"
26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80.96,0.0,2,"Es muy buena persona, y si hace la clase muy relajada Las personas de derecho no le sacarían provecho a la materia.",0.0,"['buen', 'persona', 'si', 'hacer', 'clase', 'relajado', 'persona', 'derecho', 'no', 'sacar', 'provecho', 'materia']"
27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,93.083,0.0,1,"Maestra alegre y apasionada por enseñar. Hace falta modificar el estilo de la clase porque lo siento muy ambigüo, necesito que se aterricen más los temas. ",0.0,"['maestro', 'alegre', 'apasionado', 'enseñar', 'hacer', 'falta', 'modificar', 'estilo', 'clase', 'sentir', 'ambigüo', 'necesitar', 'aterrizar', 'tema']"
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.333,0.0,2,"Comprensiva. Falta mucho a clase, aburrida la clase.",0.0,"['comprensivo', 'falta', 'clase', 'aburrido', 'clase']"
29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,77.454,0.0,2,Es sencillo entenderle los examenes son confusos,0.0,"['sencillo', 'entender', 'él', 'examen', 'confuso']"
30,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,83.5,0.0,1,"Excelente maestra, comprensible y muy buena en el área. ",0.0,"['excelente', 'maestro', 'comprensible', 'buen', 'área']"
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,77.375,0.0,1,"la mejor maestra que he tenido, super comprensiva, explica muy bien y tiene actividades que ayudan mucho! :) ",1.0,"['mejor', 'maestro', 'tener', 'super', 'comprensivo', 'explicar', 'bien', 'actividad', 'ayudar', 'mucho']"
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,81.272,0.0,1,Muy buena ,1.0,['buen']
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,75.472,1.0,2,"Excelente, profesor ademas de dar una buena clase te da consejos de como ir mejorando en tu carrera. no aplica",1.0,"['excelente', 'profesor', 'ademas', 'dar', 'buen', 'clase', 'dar', 'consejo', 'ir', 'mejorar', 'carrera', 'no', 'aplicar']"
34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,82.916,1.0,2,Sabe mucho del tema y es inspirador. La teoría es muy abstracta,0.0,"['saber', 'tema', 'inspirador', 'teoría', 'abstracto']"
35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,73.976,1.0,2,No me gusto mucho si forma de enseñar Explica muy abstracto,0.0,"['no', 'gusto', 'si', 'formar', 'enseñar', 'explicar', 'abstracto']"
36,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,88.581,1.0,1,te pide razonar cada problema para que ese conocimiento se te grave para siempre ,0.0,"['pedir', 'razonar', 'cada', 'problema', 'conocimiento', 'grave', 'siempre']"
37,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,77.15,1.0,1,sabe mucho del tema mucha experiencia ,1.0,"['saber', 'tema', 'mucho', 'experiencia']"
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,98.586,1.0,1,Excelente profesor. La edad no es impedimento para el y el conocimiento y experiencia se le notan. ,1.0,"['excelente', 'profesor', 'edad', 'no', 'impedimento', 'conocimiento', 'experiencia', 'notar']"
